AnimalName,Month,Hemisphere,Availability
anchovy,January,Northern,4 AM – 9 PM
anchovy,February,Northern,4 AM – 9 PM
anchovy,March,Northern,4 AM – 9 PM
anchovy,April,Northern,4 AM – 9 PM
anchovy,May,Northern,4 AM – 9 PM
anchovy,June,Northern,4 AM – 9 PM
anchovy,July,Northern,4 AM – 9 PM
anchovy,August,Northern,4 AM – 9 PM
anchovy,September,Northern,4 AM – 9 PM
anchovy,October,Northern,4 AM – 9 PM
anchovy,November,Northern,4 AM – 9 PM
anchovy,December,Northern,4 AM – 9 PM
anchovy,January,Southern,4 AM – 9 PM
anchovy,February,Southern,4 AM – 9 PM
anchovy,March,Southern,4 AM – 9 PM
anchovy,April,Southern,4 AM – 9 PM
anchovy,May,Southern,4 AM – 9 PM
anchovy,June,Southern,4 AM – 9 PM
anchovy,July,Southern,4 AM – 9 PM
anchovy,August,Southern,4 AM – 9 PM
anchovy,September,Southern,4 AM – 9 PM
anchovy,October,Southern,4 AM – 9 PM
anchovy,November,Southern,4 AM – 9 PM
anchovy,December,Southern,4 AM – 9 PM
angelfish,May,Northern,4 PM – 9 AM
angelfish,June,Northern,4 PM – 9 AM
angelfish,July,Northern,4 PM – 9 AM
angelfish,August,Northern,4 PM – 9 AM
angelfish,September,Northern,4 PM – 9 AM
angelfish,October,Northern,4 PM – 9 AM
angelfish,November,Southern,4 PM – 9 AM
angelfish,December,Southern,4 PM – 9 AM
angelfish,January,Southern,4 PM – 9 AM
angelfish,February,Southern,4 PM – 9 AM
angelfish,March,Southern,4 PM – 9 AM
angelfish,April,Southern,4 PM – 9 AM
arapaima,June,Northern,4 PM – 9 AM
arapaima,July,Northern,4 PM – 9 AM
arapaima,August,Northern,4 PM – 9 AM
arapaima,September,Northern,4 PM – 9 AM
arapaima,December,Southern,4 PM – 9 AM
arapaima,January,Southern,4 PM – 9 AM
arapaima,February,Southern,4 PM – 9 AM
arapaima,March,Southern,4 PM – 9 AM
arowana,June,Northern,4 PM – 9 AM
arowana,July,Northern,4 PM – 9 AM
arowana,August,Northern,4 PM – 9 AM
arowana,September,Northern,4 PM – 9 AM
arowana,December,Southern,4 PM – 9 AM
arowana,January,Southern,4 PM – 9 AM
arowana,February,Southern,4 PM – 9 AM
arowana,March,Southern,4 PM – 9 AM
barred knifejaw,March,Northern,All day
barred knifejaw,April,Northern,All day
barred knifejaw,May,Northern,All day
barred knifejaw,June,Northern,All day
barred knifejaw,July,Northern,All day
barred knifejaw,August,Northern,All day
barred knifejaw,September,Northern,All day
barred knifejaw,October,Northern,All day
barred knifejaw,November,Northern,All day
barred knifejaw,September,Southern,All day
barred knifejaw,October,Southern,All day
barred knifejaw,November,Southern,All day
barred knifejaw,December,Southern,All day
barred knifejaw,January,Southern,All day
barred knifejaw,February,Southern,All day
barred knifejaw,March,Southern,All day
barred knifejaw,April,Southern,All day
barred knifejaw,May,Southern,All day
barreleye,January,Northern,9 PM – 4 AM
barreleye,February,Northern,9 PM – 4 AM
barreleye,March,Northern,9 PM – 4 AM
barreleye,April,Northern,9 PM – 4 AM
barreleye,May,Northern,9 PM – 4 AM
barreleye,June,Northern,9 PM – 4 AM
barreleye,July,Northern,9 PM – 4 AM
barreleye,August,Northern,9 PM – 4 AM
barreleye,September,Northern,9 PM – 4 AM
barreleye,October,Northern,9 PM – 4 AM
barreleye,November,Northern,9 PM – 4 AM
barreleye,December,Northern,9 PM – 4 AM
barreleye,January,Southern,9 PM – 4 AM
barreleye,February,Southern,9 PM – 4 AM
barreleye,March,Southern,9 PM – 4 AM
barreleye,April,Southern,9 PM – 4 AM
barreleye,May,Southern,9 PM – 4 AM
barreleye,June,Southern,9 PM – 4 AM
barreleye,July,Southern,9 PM – 4 AM
barreleye,August,Southern,9 PM – 4 AM
barreleye,September,Southern,9 PM – 4 AM
barreleye,October,Southern,9 PM – 4 AM
barreleye,November,Southern,9 PM – 4 AM
barreleye,December,Southern,9 PM – 4 AM
betta,May,Northern,9 AM – 4 PM
betta,June,Northern,9 AM – 4 PM
betta,July,Northern,9 AM – 4 PM
betta,August,Northern,9 AM – 4 PM
betta,September,Northern,9 AM – 4 PM
betta,October,Northern,9 AM – 4 PM
betta,November,Southern,9 AM – 4 PM
betta,December,Southern,9 AM – 4 PM
betta,January,Southern,9 AM – 4 PM
betta,February,Southern,9 AM – 4 PM
betta,March,Southern,9 AM – 4 PM
betta,April,Southern,9 AM – 4 PM
bitterling,November,Northern,All day
bitterling,December,Northern,All day
bitterling,January,Northern,All day
bitterling,February,Northern,All day
bitterling,March,Northern,All day
bitterling,May,Southern,All day
bitterling,June,Southern,All day
bitterling,July,Southern,All day
bitterling,August,Southern,All day
bitterling,September,Southern,All day
black bass,January,Northern,All day
black bass,February,Northern,All day
black bass,March,Northern,All day
black bass,April,Northern,All day
black bass,May,Northern,All day
black bass,June,Northern,All day
black bass,July,Northern,All day
black bass,August,Northern,All day
black bass,September,Northern,All day
black bass,October,Northern,All day
black bass,November,Northern,All day
black bass,December,Northern,All day
black bass,January,Southern,All day
black bass,February,Southern,All day
black bass,March,Southern,All day
black bass,April,Southern,All day
black bass,May,Southern,All day
black bass,June,Southern,All day
black bass,July,Southern,All day
black bass,August,Southern,All day
black bass,September,Southern,All day
black bass,October,Southern,All day
black bass,November,Southern,All day
black bass,December,Southern,All day
blowfish,November,Northern,9 PM – 5 AM
blowfish,December,Northern,9 PM – 5 AM
blowfish,January,Northern,9 PM – 5 AM
blowfish,February,Northern,9 PM – 5 AM
blowfish,May,Southern,9 PM – 5 AM
blowfish,June,Southern,9 PM – 5 AM
blowfish,July,Southern,9 PM – 5 AM
blowfish,August,Southern,9 PM – 5 AM
blue marlin,January,Northern,All day
blue marlin,February,Northern,All day
blue marlin,March,Northern,All day
blue marlin,April,Northern,All day
blue marlin,July,Northern,All day
blue marlin,August,Northern,All day
blue marlin,September,Northern,All day
blue marlin,November,Northern,All day
blue marlin,December,Northern,All day
blue marlin,January,Southern,All day
blue marlin,February,Southern,All day
blue marlin,March,Southern,All day
blue marlin,May,Southern,All day
blue marlin,June,Southern,All day
blue marlin,July,Southern,All day
blue marlin,August,Southern,All day
blue marlin,September,Southern,All day
blue marlin,October,Southern,All day
bluegill,January,Northern,9 AM – 4 PM
bluegill,February,Northern,9 AM – 4 PM
bluegill,March,Northern,9 AM – 4 PM
bluegill,April,Northern,9 AM – 4 PM
bluegill,May,Northern,9 AM – 4 PM
bluegill,June,Northern,9 AM – 4 PM
bluegill,July,Northern,9 AM – 4 PM
bluegill,August,Northern,9 AM – 4 PM
bluegill,September,Northern,9 AM – 4 PM
bluegill,October,Northern,9 AM – 4 PM
bluegill,November,Northern,9 AM – 4 PM
bluegill,December,Northern,9 AM – 4 PM
bluegill,January,Southern,9 AM – 4 PM
bluegill,February,Southern,9 AM – 4 PM
bluegill,March,Southern,9 AM – 4 PM
bluegill,April,Southern,9 AM – 4 PM
bluegill,May,Southern,9 AM – 4 PM
bluegill,June,Southern,9 AM – 4 PM
bluegill,July,Southern,9 AM – 4 PM
bluegill,August,Southern,9 AM – 4 PM
bluegill,September,Southern,9 AM – 4 PM
bluegill,October,Southern,9 AM – 4 PM
bluegill,November,Southern,9 AM – 4 PM
bluegill,December,Southern,9 AM – 4 PM
butterfly fish,April,Northern,All day
butterfly fish,May,Northern,All day
butterfly fish,June,Northern,All day
butterfly fish,July,Northern,All day
butterfly fish,August,Northern,All day
butterfly fish,September,Northern,All day
butterfly fish,October,Southern,All day
butterfly fish,November,Southern,All day
butterfly fish,December,Southern,All day
butterfly fish,January,Southern,All day
butterfly fish,February,Southern,All day
butterfly fish,March,Southern,All day
carp,January,Northern,All day
carp,February,Northern,All day
carp,March,Northern,All day
carp,April,Northern,All day
carp,May,Northern,All day
carp,June,Northern,All day
carp,July,Northern,All day
carp,August,Northern,All day
carp,September,Northern,All day
carp,October,Northern,All day
carp,November,Northern,All day
carp,December,Northern,All day
carp,January,Southern,All day
carp,February,Southern,All day
carp,March,Southern,All day
carp,April,Southern,All day
carp,May,Southern,All day
carp,June,Southern,All day
carp,July,Southern,All day
carp,August,Southern,All day
carp,September,Southern,All day
carp,October,Southern,All day
carp,November,Southern,All day
carp,December,Southern,All day
catfish,May,Northern,4 PM – 9 AM
catfish,June,Northern,4 PM – 9 AM
catfish,July,Northern,4 PM – 9 AM
catfish,August,Northern,4 PM – 9 AM
catfish,September,Northern,4 PM – 9 AM
catfish,October,Northern,4 PM – 9 AM
catfish,November,Southern,4 PM – 9 AM
catfish,December,Southern,4 PM – 9 AM
catfish,January,Southern,4 PM – 9 AM
catfish,February,Southern,4 PM – 9 AM
catfish,March,Southern,4 PM – 9 AM
catfish,April,Southern,4 PM – 9 AM
char,March,Northern,4 PM – 9 AM
char,April,Northern,4 PM – 9 AM
char,May,Northern,4 PM – 9 AM
char,June,Northern,4 PM – 9 AM
char,September,Northern,4 PM – 9 AM
char,October,Northern,4 PM – 9 AM
char,November,Northern,4 PM – 9 AM
char,January,Southern,4 PM – 9 AM
char,February,Southern,4 PM – 9 AM
char,March,Southern,4 PM – 9 AM
char,April,Southern,4 PM – 9 AM
char,May,Southern,4 PM – 9 AM
char,September,Southern,4 PM – 9 AM
char,October,Southern,4 PM – 9 AM
char,November,Southern,4 PM – 9 AM
char,December,Southern,4 PM – 9 AM
cherry salmon,March,Northern,4 PM – 9 AM
cherry salmon,April,Northern,4 PM – 9 AM
cherry salmon,May,Northern,4 PM – 9 AM
cherry salmon,June,Northern,4 PM – 9 AM
cherry salmon,September,Northern,4 PM – 9 AM
cherry salmon,October,Northern,4 PM – 9 AM
cherry salmon,November,Northern,4 PM – 9 AM
cherry salmon,March,Southern,4 PM – 9 AM
cherry salmon,April,Southern,4 PM – 9 AM
cherry salmon,May,Southern,4 PM – 9 AM
cherry salmon,June,Southern,4 PM – 9 AM
cherry salmon,September,Southern,4 PM – 9 AM
cherry salmon,October,Southern,4 PM – 9 AM
cherry salmon,November,Southern,4 PM – 9 AM
cherry salmon,December,Southern,4 PM – 9 AM
clown fish,April,Northern,All day
clown fish,May,Northern,All day
clown fish,June,Northern,All day
clown fish,July,Northern,All day
clown fish,August,Northern,All day
clown fish,September,Northern,All day
clown fish,October,Southern,All day
clown fish,November,Southern,All day
clown fish,December,Southern,All day
clown fish,January,Southern,All day
clown fish,February,Southern,All day
clown fish,March,Southern,All day
coelacanth,January,Northern,All day
coelacanth,February,Northern,All day
coelacanth,March,Northern,All day
coelacanth,April,Northern,All day
coelacanth,May,Northern,All day
coelacanth,June,Northern,All day
coelacanth,July,Northern,All day
coelacanth,August,Northern,All day
coelacanth,September,Northern,All day
coelacanth,October,Northern,All day
coelacanth,November,Northern,All day
coelacanth,December,Northern,All day
coelacanth,January,Southern,All day
coelacanth,February,Southern,All day
coelacanth,March,Southern,All day
coelacanth,April,Southern,All day
coelacanth,May,Southern,All day
coelacanth,June,Southern,All day
coelacanth,July,Southern,All day
coelacanth,August,Southern,All day
coelacanth,September,Southern,All day
coelacanth,October,Southern,All day
coelacanth,November,Southern,All day
coelacanth,December,Southern,All day
crawfish,April,Northern,All day
crawfish,May,Northern,All day
crawfish,June,Northern,All day
crawfish,July,Northern,All day
crawfish,August,Northern,All day
crawfish,September,Northern,All day
crawfish,October,Southern,All day
crawfish,November,Southern,All day
crawfish,December,Southern,All day
crawfish,January,Southern,All day
crawfish,February,Southern,All day
crawfish,March,Southern,All day
crucian carp,January,Northern,All day
crucian carp,February,Northern,All day
crucian carp,March,Northern,All day
crucian carp,April,Northern,All day
crucian carp,May,Northern,All day
crucian carp,June,Northern,All day
crucian carp,July,Northern,All day
crucian carp,August,Northern,All day
crucian carp,September,Northern,All day
crucian carp,October,Northern,All day
crucian carp,November,Northern,All day
crucian carp,December,Northern,All day
crucian carp,January,Southern,All day
crucian carp,February,Southern,All day
crucian carp,March,Southern,All day
crucian carp,April,Southern,All day
crucian carp,May,Southern,All day
crucian carp,June,Southern,All day
crucian carp,July,Southern,All day
crucian carp,August,Southern,All day
crucian carp,September,Southern,All day
crucian carp,October,Southern,All day
crucian carp,November,Southern,All day
crucian carp,December,Southern,All day
dab,October,Northern,All day
dab,November,Northern,All day
dab,December,Northern,All day
dab,January,Northern,All day
dab,February,Northern,All day
dab,March,Northern,All day
dab,April,Northern,All day
dab,April,Southern,All day
dab,May,Southern,All day
dab,June,Southern,All day
dab,July,Southern,All day
dab,August,Southern,All day
dab,September,Southern,All day
dab,October,Southern,All day
dace,January,Northern,4 PM – 9 AM
dace,February,Northern,4 PM – 9 AM
dace,March,Northern,4 PM – 9 AM
dace,April,Northern,4 PM – 9 AM
dace,May,Northern,4 PM – 9 AM
dace,June,Northern,4 PM – 9 AM
dace,July,Northern,4 PM – 9 AM
dace,August,Northern,4 PM – 9 AM
dace,September,Northern,4 PM – 9 AM
dace,October,Northern,4 PM – 9 AM
dace,November,Northern,4 PM – 9 AM
dace,December,Northern,4 PM – 9 AM
dace,January,Southern,4 PM – 9 AM
dace,February,Southern,4 PM – 9 AM
dace,March,Southern,4 PM – 9 AM
dace,April,Southern,4 PM – 9 AM
dace,May,Southern,4 PM – 9 AM
dace,June,Southern,4 PM – 9 AM
dace,July,Southern,4 PM – 9 AM
dace,August,Southern,4 PM – 9 AM
dace,September,Southern,4 PM – 9 AM
dace,October,Southern,4 PM – 9 AM
dace,November,Southern,4 PM – 9 AM
dace,December,Southern,4 PM – 9 AM
dorado,June,Northern,4 AM – 9 PM
dorado,July,Northern,4 AM – 9 PM
dorado,August,Northern,4 AM – 9 PM
dorado,September,Northern,4 AM – 9 PM
dorado,December,Southern,4 AM – 9 PM
dorado,January,Southern,4 AM – 9 PM
dorado,February,Southern,4 AM – 9 PM
dorado,March,Southern,4 AM – 9 PM
football fish,November,Northern,4 PM – 9 AM
football fish,December,Northern,4 PM – 9 AM
football fish,January,Northern,4 PM – 9 AM
football fish,February,Northern,4 PM – 9 AM
football fish,March,Northern,4 PM – 9 AM
football fish,April,Southern,4 PM – 9 AM
football fish,May,Southern,4 PM – 9 AM
football fish,June,Southern,4 PM – 9 AM
football fish,July,Southern,4 PM – 9 AM
football fish,August,Southern,4 PM – 9 AM
football fish,September,Southern,4 PM – 9 AM
freshwater goby,January,Northern,4 PM – 9 AM
freshwater goby,February,Northern,4 PM – 9 AM
freshwater goby,March,Northern,4 PM – 9 AM
freshwater goby,April,Northern,4 PM – 9 AM
freshwater goby,May,Northern,4 PM – 9 AM
freshwater goby,June,Northern,4 PM – 9 AM
freshwater goby,July,Northern,4 PM – 9 AM
freshwater goby,August,Northern,4 PM – 9 AM
freshwater goby,September,Northern,4 PM – 9 AM
freshwater goby,October,Northern,4 PM – 9 AM
freshwater goby,November,Northern,4 PM – 9 AM
freshwater goby,December,Northern,4 PM – 9 AM
freshwater goby,January,Southern,4 PM – 9 AM
freshwater goby,February,Southern,4 PM – 9 AM
freshwater goby,March,Southern,4 PM – 9 AM
freshwater goby,April,Southern,4 PM – 9 AM
freshwater goby,May,Southern,4 PM – 9 AM
freshwater goby,June,Southern,4 PM – 9 AM
freshwater goby,July,Southern,4 PM – 9 AM
freshwater goby,August,Southern,4 PM – 9 AM
freshwater goby,September,Southern,4 PM – 9 AM
freshwater goby,October,Southern,4 PM – 9 AM
freshwater goby,November,Southern,4 PM – 9 AM
freshwater goby,December,Southern,4 PM – 9 AM
frog,May,Northern,All day
frog,June,Northern,All day
frog,July,Northern,All day
frog,August,Northern,All day
frog,November,Southern,All day
frog,December,Southern,All day
frog,January,Southern,All day
frog,February,Southern,All day
gar,June,Northern,4 PM – 9 AM
gar,July,Northern,4 PM – 9 AM
gar,August,Northern,4 PM – 9 AM
gar,September,Northern,4 PM – 9 AM
gar,December,Southern,4 PM – 9 AM
gar,January,Southern,4 PM – 9 AM
gar,February,Southern,4 PM – 9 AM
gar,March,Southern,4 PM – 9 AM
giant snakehead,June,Northern,9 AM – 4 PM
giant snakehead,July,Northern,9 AM – 4 PM
giant snakehead,August,Northern,9 AM – 4 PM
giant snakehead,December,Southern,9 AM – 4 PM
giant snakehead,January,Southern,9 AM – 4 PM
giant snakehead,February,Southern,9 AM – 4 PM
giant trevally,May,Northern,All day
giant trevally,June,Northern,All day
giant trevally,July,Northern,All day
giant trevally,August,Northern,All day
giant trevally,September,Northern,All day
giant trevally,October,Northern,All day
giant trevally,November,Southern,All day
giant trevally,December,Southern,All day
giant trevally,January,Southern,All day
giant trevally,February,Southern,All day
giant trevally,March,Southern,All day
giant trevally,April,Southern,All day
golden trout,March,Northern,4 PM – 9 AM
golden trout,April,Northern,4 PM – 9 AM
golden trout,May,Northern,4 PM – 9 AM
golden trout,September,Northern,4 PM – 9 AM
golden trout,October,Northern,4 PM – 9 AM
golden trout,November,Northern,4 PM – 9 AM
golden trout,January,Southern,4 PM – 9 AM
golden trout,February,Southern,4 PM – 9 AM
golden trout,March,Southern,4 PM – 9 AM
golden trout,April,Southern,4 PM – 9 AM
golden trout,May,Southern,4 PM – 9 AM
golden trout,September,Southern,4 PM – 9 AM
golden trout,October,Southern,4 PM – 9 AM
golden trout,November,Southern,4 PM – 9 AM
golden trout,December,Southern,4 PM – 9 AM
goldfish,January,Northern,All day
goldfish,February,Northern,All day
goldfish,March,Northern,All day
goldfish,April,Northern,All day
goldfish,May,Northern,All day
goldfish,June,Northern,All day
goldfish,July,Northern,All day
goldfish,August,Northern,All day
goldfish,September,Northern,All day
goldfish,October,Northern,All day
goldfish,November,Northern,All day
goldfish,December,Northern,All day
goldfish,January,Southern,All day
goldfish,February,Southern,All day
goldfish,March,Southern,All day
goldfish,April,Southern,All day
goldfish,May,Southern,All day
goldfish,June,Southern,All day
goldfish,July,Southern,All day
goldfish,August,Southern,All day
goldfish,September,Southern,All day
goldfish,October,Southern,All day
goldfish,November,Southern,All day
goldfish,December,Southern,All day
great white shark,June,Northern,4 PM – 9 AM
great white shark,July,Northern,4 PM – 9 AM
great white shark,August,Northern,4 PM – 9 AM
great white shark,September,Northern,4 PM – 9 AM
great white shark,December,Southern,4 PM – 9 AM
great white shark,January,Southern,4 PM – 9 AM
great white shark,February,Southern,4 PM – 9 AM
great white shark,March,Southern,4 PM – 9 AM
guppy,April,Northern,9 AM – 4 PM
guppy,May,Northern,9 AM – 4 PM
guppy,June,Northern,9 AM – 4 PM
guppy,July,Northern,9 AM – 4 PM
guppy,August,Northern,9 AM – 4 PM
guppy,September,Northern,9 AM – 4 PM
guppy,October,Northern,9 AM – 4 PM
guppy,November,Northern,9 AM – 4 PM
guppy,October,Southern,9 AM – 4 PM
guppy,November,Southern,9 AM – 4 PM
guppy,December,Southern,9 AM – 4 PM
guppy,January,Southern,9 AM – 4 PM
guppy,February,Southern,9 AM – 4 PM
guppy,March,Southern,9 AM – 4 PM
guppy,April,Southern,9 AM – 4 PM
guppy,May,Southern,9 AM – 4 PM
hammerhead shark,June,Northern,4 PM – 9 AM
hammerhead shark,July,Northern,4 PM – 9 AM
hammerhead shark,August,Northern,4 PM – 9 AM
hammerhead shark,September,Northern,4 PM – 9 AM
hammerhead shark,December,Southern,4 PM – 9 AM
hammerhead shark,January,Southern,4 PM – 9 AM
hammerhead shark,February,Southern,4 PM – 9 AM
hammerhead shark,March,Southern,4 PM – 9 AM
horse mackerel,January,Northern,All day
horse mackerel,February,Northern,All day
horse mackerel,March,Northern,All day
horse mackerel,April,Northern,All day
horse mackerel,May,Northern,All day
horse mackerel,June,Northern,All day
horse mackerel,July,Northern,All day
horse mackerel,August,Northern,All day
horse mackerel,September,Northern,All day
horse mackerel,October,Northern,All day
horse mackerel,November,Northern,All day
horse mackerel,December,Northern,All day
horse mackerel,January,Southern,All day
horse mackerel,February,Southern,All day
horse mackerel,March,Southern,All day
horse mackerel,April,Southern,All day
horse mackerel,May,Southern,All day
horse mackerel,June,Southern,All day
horse mackerel,July,Southern,All day
horse mackerel,August,Southern,All day
horse mackerel,September,Southern,All day
horse mackerel,October,Southern,All day
horse mackerel,November,Southern,All day
horse mackerel,December,Southern,All day
killifish,April,Northern,All day
killifish,May,Northern,All day
killifish,June,Northern,All day
killifish,July,Northern,All day
killifish,August,Northern,All day
killifish,October,Southern,All day
killifish,November,Southern,All day
killifish,December,Southern,All day
killifish,January,Southern,All day
killifish,February,Southern,All day
king salmon,September,Northern,All day
king salmon,September,Southern,All day
koi,January,Northern,4 PM – 9 AM
koi,February,Northern,4 PM – 9 AM
koi,March,Northern,4 PM – 9 AM
koi,April,Northern,4 PM – 9 AM
koi,May,Northern,4 PM – 9 AM
koi,June,Northern,4 PM – 9 AM
koi,July,Northern,4 PM – 9 AM
koi,August,Northern,4 PM – 9 AM
koi,September,Northern,4 PM – 9 AM
koi,October,Northern,4 PM – 9 AM
koi,November,Northern,4 PM – 9 AM
koi,December,Northern,4 PM – 9 AM
koi,January,Southern,4 PM – 9 AM
koi,February,Southern,4 PM – 9 AM
koi,March,Southern,4 PM – 9 AM
koi,April,Southern,4 PM – 9 AM
koi,May,Southern,4 PM – 9 AM
koi,June,Southern,4 PM – 9 AM
koi,July,Southern,4 PM – 9 AM
koi,August,Southern,4 PM – 9 AM
koi,September,Southern,4 PM – 9 AM
koi,October,Southern,4 PM – 9 AM
koi,November,Southern,4 PM – 9 AM
koi,December,Southern,4 PM – 9 AM
loach,March,Northern,All day
loach,April,Northern,All day
loach,May,Northern,All day
loach,September,Southern,All day
loach,October,Southern,All day
loach,November,Southern,All day
mahi-mahi,May,Northern,All day
mahi-mahi,June,Northern,All day
mahi-mahi,July,Northern,All day
mahi-mahi,August,Northern,All day
mahi-mahi,September,Northern,All day
mahi-mahi,October,Northern,All day
mahi-mahi,November,Southern,All day
mahi-mahi,December,Southern,All day
mahi-mahi,January,Southern,All day
mahi-mahi,February,Southern,All day
mahi-mahi,March,Southern,All day
mahi-mahi,April,Southern,All day
mitten crab,September,Northern,4 PM – 9 AM
mitten crab,October,Northern,4 PM – 9 AM
mitten crab,November,Northern,4 PM – 9 AM
mitten crab,March,Southern,4 PM – 9 AM
mitten crab,April,Southern,4 PM – 9 AM
mitten crab,May,Southern,4 PM – 9 AM
moray eel,August,Northern,All day
moray eel,September,Northern,All day
moray eel,October,Northern,All day
moray eel,February,Southern,All day
moray eel,March,Southern,All day
moray eel,April,Southern,All day
Napoleonfish,July,Northern,4 AM – 9 PM
Napoleonfish,August,Northern,4 AM – 9 PM
Napoleonfish,January,Southern,4 AM – 9 PM
Napoleonfish,February,Southern,4 AM – 9 PM
neon tetra,April,Northern,9 AM – 4 PM
neon tetra,May,Northern,9 AM – 4 PM
neon tetra,June,Northern,9 AM – 4 PM
neon tetra,July,Northern,9 AM – 4 PM
neon tetra,August,Northern,9 AM – 4 PM
neon tetra,September,Northern,9 AM – 4 PM
neon tetra,October,Northern,9 AM – 4 PM
neon tetra,November,Northern,9 AM – 4 PM
neon tetra,October,Southern,9 AM – 4 PM
neon tetra,November,Southern,9 AM – 4 PM
neon tetra,December,Southern,9 AM – 4 PM
neon tetra,January,Southern,9 AM – 4 PM
neon tetra,February,Southern,9 AM – 4 PM
neon tetra,March,Southern,9 AM – 4 PM
neon tetra,April,Southern,9 AM – 4 PM
neon tetra,May,Southern,9 AM – 4 PM
nibble fish,May,Northern,9 AM – 4 PM
nibble fish,June,Northern,9 AM – 4 PM
nibble fish,July,Northern,9 AM – 4 PM
nibble fish,August,Northern,9 AM – 4 PM
nibble fish,September,Northern,9 AM – 4 PM
nibble fish,November,Southern,9 AM – 4 PM
nibble fish,December,Southern,9 AM – 4 PM
nibble fish,January,Southern,9 AM – 4 PM
nibble fish,February,Southern,9 AM – 4 PM
nibble fish,March,Southern,9 AM – 4 PM
oarfish,December,Northern,All day
oarfish,January,Northern,All day
oarfish,February,Northern,All day
oarfish,March,Northern,All day
oarfish,April,Northern,All day
oarfish,May,Northern,All day
oarfish,June,Southern,All day
oarfish,July,Southern,All day
oarfish,August,Southern,All day
oarfish,September,Southern,All day
oarfish,October,Southern,All day
oarfish,November,Southern,All day
ocean sunfish,July,Northern,4 AM – 9 PM
ocean sunfish,August,Northern,4 AM – 9 PM
ocean sunfish,September,Northern,4 AM – 9 PM
ocean sunfish,January,Southern,4 AM – 9 PM
ocean sunfish,February,Southern,4 AM – 9 PM
ocean sunfish,April,Southern,4 AM – 9 PM
olive flounder,January,Northern,All day
olive flounder,February,Northern,All day
olive flounder,March,Northern,All day
olive flounder,April,Northern,All day
olive flounder,May,Northern,All day
olive flounder,June,Northern,All day
olive flounder,July,Northern,All day
olive flounder,August,Northern,All day
olive flounder,September,Northern,All day
olive flounder,October,Northern,All day
olive flounder,November,Northern,All day
olive flounder,December,Northern,All day
olive flounder,January,Southern,All day
olive flounder,February,Southern,All day
